trial, query, width, q_bit, ftr_on, nc1, nc2, recall@1, recall@30, filtering, 1st(sec), 2nd(sec), kNN(sec), ave(ms/q), stdev(ms/q), min(ms/q), max(ms/q)
1, 0, 26, 2, SSD, 138000, 60, 70.1600, 69.9500, 5.6090, 0.5772, 4.4479, 18.5157, 2.4125, 0.8120, 1.9214, 31.2603 
2, 0, 26, 2, SSD, 138000, 60, 70.1700, 69.9500, 5.7218, 0.6300, 4.5053, 18.6625, 2.4384, 0.9250, 1.8695, 31.0517 
3, 0, 26, 2, SSD, 150000, 50, 70.1500, 69.9600, 5.7382, 0.6178, 4.5413, 16.2038, 2.1942, 0.7557, 1.6578, 19.3561 
4, 0, 26, 2, SSD, 150000, 50, 70.1500, 69.9300, 5.8102, 0.5922, 4.6354, 16.2943, 2.2105, 0.8227, 1.6303, 26.4595 
5, 0, 26, 2, SSD, 165000, 40, 70.0800, 69.9000, 5.9227, 0.6164, 4.7206, 13.8079, 1.9731, 0.7569, 1.4043, 30.3199 
6, 0, 26, 2, SSD, 165000, 40, 70.0700, 69.8600, 5.8663, 0.5756, 4.7076, 13.8311, 1.9697, 0.7757, 1.4374, 30.3944 
7, 0, 26, 2, SSD, 190000, 30, 70.0800, 69.8600, 6.2227, 0.6956, 4.9390, 10.9584, 1.7181, 0.9045, 1.1984, 33.0998 
8, 0, 26, 2, SSD, 190000, 30, 70.0700, 69.8500, 6.3000, 0.6924, 5.0144, 10.8008, 1.7101, 0.8447, 1.1536, 30.9242 
9, 0, 26, 2, SSD, 220000, 25, 70.0900, 69.9000, 6.6008, 0.7134, 5.2992, 9.8374, 1.6438, 0.7409, 1.1279, 30.4136 
10, 0, 26, 2, SSD, 220000, 25, 70.1000, 69.9000, 6.5240, 0.6549, 5.2837, 9.8571, 1.6381, 0.6755, 1.1100, 20.7204 
11, 0, 26, 2, SSD, 280000, 20, 70.1600, 69.9600, 7.5311, 0.8060, 6.1369, 8.7561, 1.6287, 0.7432, 1.0689, 22.8918 
12, 0, 26, 2, SSD, 280000, 20, 70.1700, 70.0100, 7.5130, 0.7816, 6.1424, 8.8147, 1.6328, 0.8115, 1.0604, 37.3054 
13, 0, 26, 2, SSD, 330000, 70, 80.1300, 79.9400, 9.0516, 0.9879, 7.4652, 21.7694, 3.0821, 0.9705, 2.3728, 25.9753 
14, 0, 26, 2, SSD, 330000, 70, 80.1300, 79.9300, 8.9827, 0.8962, 7.4876, 21.7573, 3.0740, 0.8931, 2.2717, 24.9454 
15, 0, 26, 2, SSD, 370000, 60, 80.0700, 79.8400, 9.5160, 0.9997, 7.9105, 18.8084, 2.8324, 0.8717, 2.0383, 36.9352 
16, 0, 26, 2, SSD, 370000, 60, 80.0700, 79.8500, 9.5499, 0.9804, 7.9639, 18.8725, 2.8422, 0.9030, 2.1360, 30.3175 
17, 0, 26, 2, SSD, 430000, 50, 80.0800, 79.8800, 10.3812, 1.0858, 8.6958, 16.3936, 2.6775, 0.8223, 1.9490, 27.1077 
18, 0, 26, 2, SSD, 430000, 50, 80.0700, 79.8300, 10.5192, 1.1073, 8.8171, 16.3242, 2.6843, 0.8707, 1.8738, 26.7280 
19, 0, 26, 2, SSD, 580000, 40, 80.0600, 79.8500, 12.8106, 1.3928, 10.8063, 14.0186, 2.6829, 0.9092, 1.7505, 31.1191 
20, 0, 26, 2, SSD, 580000, 40, 80.0800, 79.8800, 12.8212, 1.4439, 10.7650, 14.0904, 2.6912, 0.9095, 1.8503, 27.3968 
21, 0, 26, 2, SSD, 750000, 35, 80.0900, 79.8700, 15.7629, 1.7729, 13.3799, 12.8935, 2.8656, 0.9210, 1.8912, 27.5781 
22, 0, 26, 2, SSD, 750000, 35, 80.0800, 79.8700, 16.6866, 1.8887, 14.1745, 12.9568, 2.9643, 1.0569, 1.9148, 37.1532 
